pair_index,Ti_pre,Ca_pre,Mg_pre,Ti_post,Ca_post,Mg_post
161,3824.25,2255.14,1768.2,4747.9,3397.63,2796.29
162,3361.36,1934.37,2885.94,3395.34,1931.35,2345.22
163,3085.82,2613.84,1879.43,5557.96,7958.5,4524.79
164,5225.58,4253.92,3425.43,6554.85,15698.57,8255.6
165,3423.04,4125.45,4044.88,4996.41,3312.01,4221.84
166,2184.87,1804.08,1316.6,4126.29,8519.66,4440.69
167,3666.28,2692.78,2249.34,3876.5,3417.1,2682.26
168,4956.06,4260.13,4832.09,5764.58,5927.59,5915.64
169,4968.99,4803.98,5509.87,5331.54,4504.15,5109.66
170,4350.48,3881.26,2910.04,4829.47,5471.62,3846.77
171,3934.56,2160.15,2935.97,4503.49,3820.11,4050.21
172,4388.64,2342.13,3134.69,3555.12,3711.91,3886.87
173,4501.52,3174.82,3277.88,5546.16,9205.81,5374.25
174,3569.38,2235.9,3347.77,4365.51,4184.88,4268.19
175,5289.76,1906.19,3616.46,6167.69,2274.49,4181.65
176,4893.85,4656.23,4973.7,6017.53,9604.8,7004.9
177,3226.38,3012.11,2995.83,4117.9,4002.82,2806.25
178,3913.69,1629.64,1664.88,5889.36,13126.8,7622.12
179,4628.98,2641.25,3755.65,5029.66,2190.67,3157.73
180,4569.06,5667.75,3958.7,5846.38,3567.07,3970.63
181,4378.54,1194.71,2315.67,5492.8,6387.58,5284.73
182,5407.35,2654.58,2842.36,5393.61,2570.03,3188.29
